시간대그룹,기상조건,기상조건_평균출발건수,기상조건_평균도착건수,기상조건_평균총이용건수,기상조건_평균순유출량,표본수,시간대_평균출발건수,시간대_평균도착건수,시간대_평균총이용건수,시간대_평균순유출량,대여수요_날씨보정계수,반납수요_날씨보정계수,총이용_날씨보정계수
낮시간,고온_강한비_높음_강풍_눈없음,2.897115384615385,2.722115384615384,5.619230769230769,0.175,1040,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.5172713391907919,0.5175380969016433,0.5174005298721311
낮시간,고온_강한비_높음_보통_눈없음,3.819559228650138,3.539944903581267,7.359504132231405,0.2796143250688705,1452,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.6819709452423834,0.6730267052199099,0.6776392524156698
낮시간,고온_강한비_높음_약풍_눈없음,3.015151515151515,3.345959595959596,6.361111111111111,-0.3308080808080808,396,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.538346339392563,0.6361455401154467,0.585710463696606
낮시간,고온_강한비_보통_강풍_눈없음,3.948717948717949,3.991452991452991,7.94017094017094,-0.04273504273504274,234,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.7050318507390814,0.7588690019327836,0.7311051673149439
낮시간,고온_강한비_보통_약풍_눈없음,6.476868327402135,5.676156583629894,12.15302491103203,0.800711743772242,281,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,1.156425585003928,1.07917074074456,1.119011086525987
낮시간,고온_비없음_낮음_강풍_눈없음,7.193740685543964,6.598254204811582,13.79199489035555,0.5954864807323824,4697,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,1.284421013385568,1.254483165310035,1.269922122319342
낮시간,고온_비없음_낮음_보통_눈없음,6.411893241766817,5.914936787888247,12.32683002965507,0.4969564538785703,6407,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,1.144824476625886,1.124568468257538,1.135014497697933
낮시간,고온_비없음_낮음_약풍_눈없음,7.701785714285714,7.496428571428571,15.19821428571429,0.2053571428571428,560,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,1.375130942918236,1.425247217051536,1.399402239822094
낮시간,고온_비없음_높음_강풍_눈없음,5.339784946236559,4.989964157706093,10.32974910394265,0.3498207885304659,1395,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.9534027276919483,0.9487094369262055,0.9511297683468761
낮시간,고온_비없음_높음_보통_눈없음,5.115421920465567,5.066925315227934,10.1823472356935,0.04849660523763336,1031,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.9133433764414746,0.9633415613483776,0.9375574827675294
낮시간,고온_비없음_높음_약풍_눈없음,5.939242315939957,5.476769120800572,11.41601143674053,0.4624731951393853,1399,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,1.06043405894679,1.041262498999211,1.051149278071816
낮시간,고온_비없음_보통_강풍_눈없음,6.157569360675513,5.713057901085645,11.87062726176116,0.4445114595898673,6632,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,1.099415703727542,1.086186548273201,1.093008827610503
낮시간,고온_비없음_보통_보통_눈없음,6.049823460180463,5.752975022884791,11.80279848306525,0.2968484372956715,7647,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,1.080177993508143,1.093775731070697,1.08676337383238
낮시간,고온_비없음_보통_약풍_눈없음,7.693043798306956,6.946632315053368,14.63967611336032,0.7464114832535885,2717,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,1.373570099808763,1.320718030002297,1.347973857860605
낮시간,고온_약한비_높음_강풍_눈없음,4.107758620689655,3.577586206896552,7.685344827586207,0.5301724137931034,232,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.7334280899132175,0.680183201448097,0.7076416060035715
낮시간,고온_약한비_높음_보통_눈없음,3.228826151560178,2.921248142644874,6.150074294205052,0.3075780089153046,673,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.5764973104975293,0.5553979132796762,0.56627887859645
낮시간,저온_강한비_높음_강풍_눈없음,2.907368421052631,2.526315789473684,5.433684210526316,0.3810526315789474,475,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.5191019883657714,0.4803119931088147,0.5003160050088149
낮시간,저온_강한비_높음_강풍_눈있음,1.637096774193548,1.508064516129032,3.145161290322581,0.1290322580645161,124,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.2922987621649197,0.2867184999186187,0.2895962427912505
낮시간,저온_강한비_높음_보통_눈없음,1.121794871794872,1.314102564102564,2.435897435897436,-0.1923076923076923,156,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.2002931394145117,0.2498417752615963,0.2242895292623886
낮시간,저온_강한비_높음_약풍_눈없음,1.051282051282051,1.115384615384615,2.166666666666667,-0.0641025641025641,78,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.1877032849370281,0.2120608238805744,0.1994996339228614
낮시간,저온_강한비_보통_보통_눈없음,2.196629213483146,2.47191011235955,4.668539325842697,-0.2752808988764045,178,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.3922016157857964,0.4699681955044113,0.4298639475969694
낮시간,저온_비없음_낮음_강풍_눈없음,3.79349199663016,3.591301600673968,7.384793597304128,0.2021903959561921,9496,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.6773167184595723,0.6827908200795252,0.6799678242729529
낮시간,저온_비없음_낮음_강풍_눈있음,2.347290640394089,2.321428571428572,4.66871921182266,0.02586206896551724,812,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.4191017656646957,0.441358118667698,0.4298805109141158
낮시간,저온_비없음_낮음_보통_눈없음,4.132361189007291,3.764628902598616,7.896990091605907,0.3677322864086745,5349,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.7378208053462226,0.7157444128942007,0.7271292149390042
낮시간,저온_비없음_낮음_보통_눈있음,2.150081566068515,2.115823817292006,4.265905383360522,0.03425774877650897,613,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.3838906717197756,0.4022678237554554,0.3927907210753791
낮시간,저온_비없음_낮음_약풍_눈없음,3.296995708154506,2.941630901287553,6.23862660944206,0.3553648068669528,1165,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.5886687821685728,0.5592731546368785,0.5744324883531292
낮시간,저온_비없음_높음_보통_눈없음,3.333955223880597,3.102611940298508,6.436567164179104,0.2313432835820896,536,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.5952677938258238,0.5898794327681599,0.5926582121416808
낮시간,저온_비없음_높음_보통_눈있음,3.232067510548523,3.194092827004219,6.426160337552743,0.0379746835443038,237,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.5770760455087762,0.6072720988822153,0.591699985325254
낮시간,저온_비없음_높음_약풍_눈없음,3.623076923076923,3.542307692307692,7.165384615384616,0.08076923076923077,260,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.6468896136976117,0.6734759268758933,0.6597653573934157
낮시간,저온_비없음_보통_강풍_눈없음,3.961480362537764,3.695619335347432,7.657099697885196,0.2658610271903323,1324,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.7073105417856789,0.7026240726231617,0.7050408861410536
낮시간,저온_비없음_보통_강풍_눈있음,2.140532544378698,2.133136094674556,4.273668639053255,0.007396449704142011,676,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.382185722285009,0.4055592944771728,0.3935055364609559
낮시간,저온_비없음_보통_보통_눈없음,3.831972496776966,3.633433605500644,7.465406102277611,0.1985388912763214,2327,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.684187297363461,0.6908011041842638,0.6873903620722519
낮시간,저온_비없음_보통_보통_눈있음,2.308411214953271,2.355140186915888,4.663551401869159,-0.04672897196261682,214,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.4121599598355122,0.4477674889028436,0.4294046757476975
낮시간,저온_비없음_보통_약풍_눈없음,3.530821917808219,3.253424657534246,6.784246575342466,0.2773972602739726,292,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.6304177567685404,0.6185524740021479,0.6246714037953454
낮시간,저온_비없음_보통_약풍_눈있음,2.393203883495146,2.519417475728155,4.912621359223301,-0.1262135922330097,206,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.4272994387265262,0.4790004615742336,0.4523382289692362
낮시간,저온_약한비_높음_보통_눈없음,1.803921568627451,1.808823529411765,3.612745098039216,-0.004901960784313725,408,5.600765333620783,5.259739139808127,10.86050447342891,0.341026193812655,0.3220848332635375,0.3438998553600796,0.3326498420840472
