대여소_ID,대여소명,평소이용빈도,평균출발건수,평균도착건수,평균순유출량,평균절대불균형,평균예측대여수요,평균예측반납수요,평균예측순유출량,평균예측불균형,이용빈도점수,불균형점수,순유출점수,우선순위기초점수
ST-55, 유진투자증권빌딩 앞,25.58000570450656,12.19309754706218,13.38690815744438,-1.193810610382202,10.96420422133485,12.58494156365941,13.85759524519667,-1.272653681537257,9.945026234632152,0.8841963651756845,1.0,1.0,0.9536785460702739
ST-47, 국민일보 앞,23.85538068906848,11.68552389054303,12.16985679852545,-0.4843329079824188,10.45285694030909,12.13931738739529,12.66883475996677,-0.5295173725714833,9.360087531291578,0.8195268655559295,0.935267165239305,0.415202660707567,0.7849581444596073
ST-3402,한강버스 여의도 선착장,28.35503560528993,14.83316378433367,13.52187182095626,1.311291963377416,4.537131230925738,14.60226913756989,13.38118113065976,1.221088006910128,2.571911723358709,0.988253649227043,0.184046805923092,0.9594213484700648,0.660804451754067
ST-3239,LG트윈타워 앞,21.58494237389612,10.94821134560694,10.63673102828918,0.3114803173177668,8.81799131866487,11.65568603723068,11.34809035672217,0.3075956805085108,7.876039378834205,0.7343906136487752,0.7710334715525938,0.2405654999553016,0.650282734071608
ST-66, NH농협은행 앞,20.87554229934924,10.2593546637744,10.61618763557484,-0.3568329718004338,8.628253796095445,10.48062519610509,10.7594416286278,-0.2788164325227003,7.506224699476777,0.7077897308826683,0.7301075550519284,0.2179182043705097,0.6187425552479406
ST-3315,우리은행 앞,15.83821656050955,7.861942675159236,7.976273885350318,-0.1143312101910828,10.10191082802548,8.194628595928162,8.28122737520818,-0.0865987792800191,9.495339760666035,0.5189015192213482,0.9502349903551867,0.06665608620298984,0.6009858210712119
ST-73, 여의나루역 1번출구 앞,28.66829070239545,14.53444309108134,14.13384761131412,0.4005954797672215,5.345513601299229,15.55583604776129,15.39666335446282,0.159172693298475,3.191768232817699,1.0,0.2526438551061884,0.1237667821923921,0.5258108984809539
ST-59, KT앞,15.75804436113715,8.39456419868791,7.363480162449235,1.031084036238676,5.527803811308966,8.595325882512835,7.549339279578059,1.045986602934775,4.293304626783003,0.5158952448310211,0.3745464971543604,0.8216285452982417,0.520502405853801
ST-60, 금융감독원 앞,13.02492963409731,6.544229995979092,6.480699638118215,0.06353035786087656,8.950944913550462,6.798741309903103,6.69710020960896,0.1016411002941427,8.485626154944335,0.4134096840749903,0.8384940102806432,0.07849336181408809,0.5164601501050711
ST-3397,한국산업은행,12.11715481171548,5.986401673640168,6.130753138075314,-0.1443514644351464,8.339958158995817,5.742374274703417,5.999719155663063,-0.2573448809596456,7.330302305154356,0.3793702012857809,0.7106389248906095,0.2010215649881203,0.4762079634681803
ST-2814, 63스퀘어,15.09992727272727,7.428945454545454,7.670981818181819,-0.2420363636363636,6.977745454545454,7.700564496969644,7.959471081839379,-0.2589065848697344,6.10752769186464,0.4912173569320881,0.5753193323596132,0.20225051892344,0.4670647795013685
ST-53, KBS 앞,15.98489167616876,8.054874572405929,7.930017103762828,0.1248574686431015,7.150228050171037,8.308391836068797,8.167983750380811,0.1404080856879844,6.040841409456613,0.5244015011023027,0.5679394272938844,0.1090003221619929,0.4587364357908734
ST-52, 산업은행 앞,13.2242474916388,6.609197324414716,6.61505016722408,-0.005852842809364548,6.532274247491639,7.018093271552975,6.986176486950693,0.03191678460228221,5.766303160779343,0.4208836485583453,0.5375573736092457,0.02362510439125831,0.3881014297452881
ST-72, 샛강역 1번출구 앞,12.35502550668689,6.553288294498828,5.80173721218806,0.751551082310768,3.529436095408796,6.760501923962375,6.004252659718401,0.7562492642439732,1.948968326719442,0.3882898091311401,0.1151081432399406,0.5936251188530199,0.3200842047190363
ST-62, 롯데캐슬엠파이어 옆,15.10836226851852,7.543547453703703,7.564814814814815,-0.02126736111111111,4.701822916666667,7.751764822263681,7.782110621882338,-0.03034579961865682,3.385446813073397,0.4915336500115875,0.2740774915894258,0.02238884688720624,0.3107222260178466
ST-51, 국회의사당역 3번출구 옆,14.7961773209123,7.42997108898169,7.366206231930613,0.06376485705107614,4.303726309026662,7.743927892841681,7.618847563501546,0.1250803293401327,3.038795921253638,0.4798274274009957,0.2357150191257927,0.09693842850748816,0.305604664312213
ST-3061, 여의도역2번출구 앞,12.31681274900398,6.143266932270916,6.173545816733068,-0.0302788844621514,4.796175298804781,6.387292059989512,6.36100310692567,0.02628895306384108,3.706113587118689,0.386856917983022,0.3095644053104231,0.01919638671193147,0.2824078066597643
ST-3401,여의나루역 3번출구,13.75355969331873,7.073384446878423,6.680175246440307,0.3932092004381161,3.529025191675794,7.254668034830807,6.836098822420451,0.418569212410357,1.801165971269017,0.4407316473516234,0.09875144569544056,0.3278940632418958,0.2813720498672048
ST-2644,국회제2의원회관,7.505833333333333,3.747777777777778,3.758055555555555,-0.01027777777777778,5.538055555555555,3.896263378493477,3.894368400928644,0.001894977564833582,5.325208380433759,0.2064561765422325,0.4887431724513323,0.0,0.2780797395974259
ST-50, 국회의사당역 5번출구 옆,10.65380658436214,5.37482853223594,5.278978052126201,0.09585048010973937,4.059499314128944,5.614986430133634,5.484680462477606,0.1303059676560271,2.948755752203338,0.3244979845515491,0.2257506325128513,0.1010506476876984,0.2403095763632998
ST-71, 앙카라공원 앞,10.09215514727326,5.29148439778361,4.800670749489647,0.4908136482939632,3.383785360163313,5.4596754296925,4.983242186484929,0.4764332432075704,1.884860561370583,0.3034373382822915,0.1080135923793032,0.3734290893773289,0.2392661901401036
ST-46, 진미파라곤 앞,10.72060723514212,5.386466408268734,5.334140826873385,0.05232558139534884,4.257428940568476,5.749869201219346,5.71951269900034,0.03035650221900631,3.246884267087605,0.3270028564057463,0.2587433269289331,0.02239726910010632,0.238777927153893
ST-70, 롯데캐슬 앞,12.60011162271522,6.257150830193944,6.342960792521278,-0.08580996232733361,3.805916003906795,6.39987190009743,6.476957196809848,-0.07708529671241872,2.26560085554953,0.3974799787885572,0.150148603123282,0.05916962749303886,0.2308853582633434
ST-424, 증권거래소후문교차로,9.249791144527986,4.656140350877193,4.593650793650793,0.06248955722639933,4.248955722639933,4.848256293621365,4.772394681213767,0.0758616124075975,3.400624581344891,0.2718506118533042,0.2757571547061656,0.05820667181860911,0.2306844409875098
ST-63, 미성아파트 A동 앞,9.405013591060102,4.809121111446693,4.59589247961341,0.213228631833283,3.637571730594987,4.992160637425767,4.771945865304422,0.2202147721213446,2.708530105689243,0.2776710991227853,0.1991658177412017,0.1718027142950411,0.225095309604603
