대여소_ID,대여소명,시간대그룹,평균총이용건수,평균예측대여수요,평균예측반납수요,평균예측순유출량,평균예측불균형,이용빈도점수,불균형점수,순유출점수,우선순위기초점수
ST-3402,한강버스 여의도 선착장,낮시간,34.171469740634,18.69415107223923,16.28558944382269,2.408561628416537,2.8329014782921,0.5281873474143104,0.1044659934509673,0.1053422528017009,0.2741297869064513
ST-55, 유진투자증권빌딩 앞,낮시간,27.52941176470588,13.07551268320909,15.41999009408389,-2.344477410874794,4.376065529709718,0.4213526921170758,0.173669584382373,0.1025298451707044,0.2585148796339204
ST-3239,LG트윈타워 앞,낮시간,21.19784017278618,12.63783252494851,9.86364571778764,2.774186807160868,4.86222926437092,0.3195120772106718,0.1954717227799537,0.1213881230990987,0.23027114461607
ST-47, 국민일보 앞,낮시간,22.34174022698613,12.03078267967414,11.06897228673055,0.9618103929435844,4.118613273085628,0.3379112192277758,0.1621240713596884,0.04184995515216741,0.2083841072654192
ST-2814, 63스퀘어,낮시간,15.03585147247119,9.190942607413954,6.467010399588783,2.72393220782517,4.902407964438648,0.22039913042077,0.1972735469742695,0.1191826437457411,0.1909055997071641
ST-66, NH농협은행 앞,낮시간,20.56128765992571,11.03520084962205,10.010429838427,1.024771011195046,2.913566499983833,0.3092734029117571,0.1080834372078378,0.04461305237040731,0.1758653465219195
ST-59, KT앞,낮시간,15.29216867469879,8.939611543705574,6.738285663567217,2.201325880138356,3.538500805032054,0.2245218827433152,0.1361087777189974,0.09624747998196276,0.1635017601813177
ST-73, 여의나루역 1번출구 앞,낮시간,21.84870378240544,11.53435769547404,11.69948576653402,-0.1651280710599737,1.610469198458904,0.3299809393662256,0.04964570175404251,0.006886659546879943,0.1532279883574832
ST-70, 롯데캐슬 앞,낮시간,15.58025715470759,7.227019327522521,8.66396280986424,-1.436943482341718,2.950936586482912,0.2291556624496032,0.1097593084003904,0.06270170270595253,0.148106328881188
ST-53, KBS 앞,낮시간,15.39762107051827,8.291995525783122,7.517429594556472,0.7745659312266504,2.437846705539767,0.226218039325879,0.08674966000998491,0.03363252232400618,0.1319135841991468
ST-60, 금융감독원 앞,낮시간,10.63862332695985,6.387598476989365,4.625728425403523,1.761870051585843,3.586231936310941,0.1496716006564188,0.1382492926439549,0.07696146896213653,0.1305606511125768
ST-3315,우리은행 앞,낮시간,12.23888404533566,6.903596072374195,5.816851874456602,1.086744197917593,2.84287355699194,0.1754111083290382,0.1049131938989336,0.04733281505054199,0.1215962839012971
ST-62, 롯데캐슬엠파이어 옆,낮시간,16.26003344481605,8.378206748447957,8.307013909889653,0.07119283855830365,1.552971157584387,0.2400895726768506,0.04706718724265146,0.002764206705272764,0.1154155453088554
ST-3160, 여의도 삼부아파트,낮시간,13.30243288590604,6.330042033818168,7.356616866797665,-1.026574832979497,1.523107965247473,0.1925178355189997,0.04572796466000304,0.04469221510884977,0.1042367630933711
ST-52, 산업은행 앞,낮시간,10.80877034358047,6.164769440220376,5.28521853947052,0.8795509007498564,1.648567998161118,0.1524083424819788,0.05135425227862704,0.03823990524531092,0.08915301895330455
ST-68, 시범아파트버스정류장 옆,낮시간,11.60135135135135,6.157511258140056,5.717977573308786,0.4395336848312698,1.508216631826709,0.16515666823692,0.04506015896201065,0.01892925711243481,0.08787258230205924
ST-46, 진미파라곤 앞,낮시간,9.883669885864794,5.219453647629138,5.332665452892702,-0.1132118052635639,2.086552456511147,0.13752849818168,0.0709957785713919,0.004608256100609258,0.08433136192135061
ST-3397,한국산업은행,낮시간,8.336721728081322,4.735507608345707,3.558141329864049,1.177366278481658,2.115064230898606,0.1126465001927366,0.07227439646663487,0.05130986651019577,0.08423033196578775
ST-3401,여의나루역 3번출구,낮시간,11.70137825421133,6.565374511164705,5.902507375032648,0.6628671361320565,1.135943313646982,0.166765558090972,0.02836546574237523,0.02873049565117477,0.08379850866357387
ST-51, 국회의사당역 3번출구 옆,낮시간,11.5,5.842993282709878,6.081220314067414,-0.2382270313575353,1.273664332901888,0.1635264751966346,0.0345416004640319,0.01009468925598675,0.08124616811546395
ST-63, 미성아파트 A동 앞,낮시간,9.034258456201215,5.027360402640262,4.319433498329041,0.7079269043112213,1.660748599794304,0.1238660794520454,0.05190049450863948,0.03070799402346076,0.0764482283889661
ST-57, 여의도역 4번출구 옆,낮시간,2.0,0.0,2.895108069574097,-2.895108069574097,2.895108069574097,0.01072304755387768,0.1072556641229621,0.1266948880750334,0.07253046228574261
ST-2646, 국회도서관,낮시간,6.85,3.605884146164688,3.54671390349871,0.05917024266597841,2.521668521030549,0.08873321850833778,0.09050867100108655,0.002236581624886341,0.072144072128747
ST-50, 국회의사당역 5번출구 옆,낮시간,9.867692307692307,5.317744747223348,4.885701682526475,0.4320430646968731,1.221696397189685,0.137271505685871,0.0322110849486704,0.018600522861866,0.07151314082618976
ST-3061, 여의도역2번출구 앞,낮시간,9.742344706911636,4.93118652396398,5.127825637556542,-0.1966391135925622,1.340708502070483,0.1352553432599676,0.03754821356729671,0.008269556925966802,0.07077533411609907
ST-297, 여의도중학교 옆,낮시간,10.00788288288288,5.213118329359231,5.611155923357399,-0.3980375939981667,1.13812411724378,0.139526410992432,0.02846326444360594,0.01710815471012294,0.07061750111643977
ST-2899, KRX한국거래소(1),낮시간,8.016941391941392,4.565892039298653,3.886947458554588,0.6789445807440658,1.636758724407127,0.1075029705659014,0.05082466234337848,0.02943607230714761,0.06921826762514148
ST-72, 샛강역 1번출구 앞,낮시간,10.26001705029838,5.330529649618581,5.290418365655184,0.04011128396339738,1.137276530811303,0.1435818809931626,0.02842525421086477,0.001400157885155541,0.06908288565864204
ST-71, 앙카라공원 앞,낮시간,9.041792330891857,4.469405806378187,4.843368822771017,-0.3739630163928302,1.09595297313503,0.1239872585969044,0.02657208858104594,0.01605161491971099,0.06343406185512235
ST-424, 증권거래소후문교차로,낮시간,8.83599482088908,4.642541727602999,4.487915731754243,0.1546259958487561,1.244099305316763,0.1206770938675604,0.03321574915677968,0.006425764218851808,0.06284229005350639
ST-64, 여의도고교 앞,낮시간,7.839096357768557,4.405111659979893,3.93513240918342,0.4699792507964723,1.330860582986533,0.1046424094279169,0.03710658108941129,0.0202653948595294,0.06075267517883717
ST-69, 진주아파트상가 앞,낮시간,8.101583113456464,4.138824622564651,4.330900743046772,-0.1920761204821206,1.313156443671194,0.1088643963731737,0.03631263438371538,0.00806930486490931,0.0596846732757375
ST-2644,국회제2의원회관,낮시간,4.391969407265774,2.853874356816465,1.800812638890902,1.053061717925563,1.83119433211067,0.04919685010617493,0.05954417744979527,0.04585462170755906,0.05266733536389989
ST-67, 여의도초교 앞,낮시간,7.682926829268292,4.050441972072867,3.846469867886367,0.2039721041864996,1.00375861476424,0.1021304895070545,0.02243760873944096,0.008591373427681626,0.0515455139841345
ST-296, 초원아파트 앞,낮시간,7.257435897435897,3.845082949429488,4.02409243761655,-0.1790094881870616,0.9976929077739878,0.0952866502633807,0.02216559054093669,0.007495861078159283,0.04848006853735882
ST-2645, 국회소통관,낮시간,4.749187432286024,2.886028064416823,2.12592633550616,0.7601017289106629,1.414152419388941,0.05494254891026653,0.04084182503124797,0.03299774461226673,0.04491329849905915
ST-2694, 국회6문,낮시간,5.485160508782556,2.667164111147734,3.162215321241933,-0.4950512100941991,1.094745839620956,0.06678036035673549,0.02651795436645557,0.0213657058621102,0.04159246706169846
ST-3319,국회박물관,낮시간,4.095454545454546,2.155329870848439,2.129840805947232,0.02548906490120633,1.466031724991738,0.04442753566072502,0.04316836590643437,0.0007584454316045216,0.03519004971318467
ST-425, 샛강생태공원방문자센터 앞,낮시간,4.345588235294118,2.719969190201044,1.976867740996095,0.7431014492049487,0.9183965306778779,0.04845082883718995,0.01860952400487364,0.03225166830506546,0.03327447479783853
ST-1971,여의도 순복음교회,낮시간,4.581358609794629,2.457621325692199,2.620228910756635,-0.162607585064436,0.9363000679386715,0.05224309424353674,0.0194124127629956,0.006776045197207146,0.03001741184205437
ST-1970,KBS 연구동 건너편,낮시간,3.848011363636364,2.454034520891489,1.922885301665064,0.5311492192264251,0.9413177389167786,0.04044751815244627,0.01963743151552442,0.02294990740566694,0.02862396134832167
ST-3383,국회의사당 본관 좌측,낮시간,2.712996389891697,1.787912261066106,1.002273525373732,0.7856387356923733,1.140808473606289,0.02219128884570534,0.02858364509882824,0.03411846474431656,0.02713366652667674
ST-2643, 국회의사당 본관,낮시간,3.550997150997151,2.120638506195183,1.66128770903441,0.4593507971607725,0.9998531988363717,0.03567017186298455,0.02226246935225728,0.01979895327285848,0.02713284714066843
ST-2813, 여의도 은하아파트,낮시간,4.643448611787628,2.384066318348833,2.459327220663841,-0.0752609023150086,0.7649202182840157,0.05324178530952368,0.01172683908825156,0.002942738237553469,0.02657599740662079
ST-3318,국회도서관 2문 앞,낮시간,3.181015452538631,1.872847985686411,1.575641884055544,0.2972061016308664,0.9296845478301893,0.02971917484303184,0.01911573805302856,0.01268305178374566,0.02207057551517329
ST-414, 여의도 마리나선착장 앞,낮시간,3.943661971830986,2.171068266352842,2.14012020007295,0.03094806627989133,0.6998021899731126,0.04198601718278865,0.008806604269829208,0.0009980198186216335,0.02051665254477147
ST-3377,의원회관 출입구 앞,낮시간,2.856613102595797,1.519646056248247,1.448146663866625,0.07149939238162178,0.8422068813872726,0.02450130210549183,0.01519277948061475,0.002777660163005153,0.01643316466704366
ST-3375,여의도성당,낮시간,2.227154046997389,1.230158931409118,0.9933816909105059,0.2367772404986118,0.9474828094918734,0.01437672302589083,0.01991390569968531,0.01003106356105915,0.01572246420244229
ST-2647, 의정관,낮시간,3.043835616438356,1.706810262626915,1.634985306397018,0.07182495622989733,0.7288386928856804,0.02751269598412724,0.01010875375146984,0.002791947896965084,0.01560696947363185
ST-1969,국회3문,낮시간,2.728491620111732,1.37743336484643,1.641272322106307,-0.263838957259877,0.7394286675686871,0.02244052298146692,0.01058366390458253,0.01121869729751967,0.01545341421392371
ST-2648, 국회2문,낮시간,2.582046332046332,1.354519732370955,1.485890090620892,-0.1313703582499376,0.7921050615686762,0.02008501329951702,0.01294595041505948,0.005405164527453464,0.01429341839132129
